2010-Q1	2010-Q2	2010-Q3	2010-Q4	2011-Q1	2011-Q2	2011-Q3	2011-Q4	2012-Q1	2012-Q2	2012-Q3	2012-Q4	2013-Q1	2013-Q2	2013-Q3	2013-Q4	2014-Q1	2014-Q2	2014-Q3	2014-Q4	2015-Q1	2015-Q2	2015-Q3	2015-Q4	2016-Q1	2016-Q2	2016-Q3	2016-Q4	2017-Q1	2017-Q2	2017-Q3	2017-Q4	2018-Q1	2018-Q2	2018-Q3	2018-Q4	2019-Q1	2019-Q2	2019-Q3	2019-Q4	2020-Q1	2020-Q2	2020-Q3	2020-Q4	2021-Q1	2021-Q2	2021-Q3	2021-Q4	2022-Q1
: 	: 	: 	: 	-1.328 s	-3.878 s	-0.908 s	-4.989 s	1.832 s	1.827 s	0.267 s	0.648 s	2.973 s	1.909 s	2.635 s	-1.226 s	-7.746 s	-5.7 s	-5.065 s	-2.349 s	1.669 s	-0.03 s	4.372 s	0.342 s	-0.106 s	2.143 s	-4.123 s	0.939 s	2.205 s	-0.993 s	-0.003 s	-5.916 s	-4.539 s	-6.347 s	-1.04 s	0.282 s	-6.039 s	-2.519 s	-8.275 s	-5.121 s	-8.586 s	-18.994 s	-7.175 s	-2.494 s	3.516 s	18.996 s	4.11 s	5.253 s	2.333 s
272181.34 s	235752.841 s	223141.715 s	277091.541 s	268567.529 s	226610.573 s	221116.233 s	263267.09 s	273487.172 s	230750.436 s	221705.582 s	264974.249 s	281617.135 s	235155.53 s	227548.423 s	261724.801 s	259802.894 s	221751.309 s	216022.563 s	255575.789 s	264139.709 s	221685.443 s	225467.932 s	256449.657 s	263859.788 s	226436.399 s	216172.064 s	258857.103 s	269676.935 s	224188.877 s	216165.282 s	243542.005 s	257437.115 s	209958.527 s	213917.237 s	244228.524 s	241890.504 s	204669.954 s	196215.552 s	231720.383 s	221122.92 s	165795.761 s	182137.173 s	225941.186 s	228897.717 s	197290.708 s	189623.211 s	237810.654 s	234238.263 s
3.39 s	2.937 s	2.78 s	3.451 s	3.348 s	2.824 s	2.754 s	3.277 s	3.404 s	2.871 s	2.756 s	3.29 s	3.496 s	2.919 s	2.821 s	3.239 s	3.214 s	2.741 s	2.666 s	3.148 s	3.246 s	2.72 s	2.759 s	3.123 s	3.21 s	2.751 s	2.624 s	3.138 s	3.267 s	2.713 s	2.614 s	2.942 s	3.109 s	2.534 s	2.579 s	2.941 s	2.913 s	2.464 s	2.361 s	2.786 s	2.659 s	1.994 s	2.19 s	2.716 s	2.753 s	2.373 s	2.279 s	2.855 s	2.811 s
